,County,FIPS,Age,Total,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Other Total,Other Male,Other Female,Hispanic Total,Hispanic Male,Hispanic Female
18879,STONEWALL COUNTY,433,All Ages,1452,700,752,1159,564,595,39,19,20,31,10,21,223,107,116
18966,SUTTON COUNTY,435,All Ages,4039,2016,2023,1517,745,772,6,6,0,26,16,10,2490,1249,1241
19053,SWISHER COUNTY,437,All Ages,7463,3981,3482,3519,1794,1725,542,373,169,145,71,74,3257,1743,1514
19140,TARRANT COUNTY,439,All Ages,1984677,976116,1008561,908388,446246,462142,306306,143200,163106,164878,79635,85243,605105,307035,298070
19227,TAYLOR COUNTY,441,All Ages,137289,67291,69998,85407,41464,43943,9819,5024,4795,7388,3612,3776,34675,17191,17484
19314,TERRELL COUNTY,443,All Ages,853,433,420,431,217,214,4,3,1,17,11,6,401,202,199
19401,TERRY COUNTY,445,All Ages,12766,6832,5934,5451,2838,2613,553,371,182,128,70,58,6634,3553,3081
19488,THROCKMORTON COUNTY,447,All Ages,1517,754,763,1325,671,654,7,2,5,22,7,15,163,74,89
19575,TITUS COUNTY,449,All Ages,33746,16831,16915,14825,7224,7601,3036,1450,1586,833,402,431,15052,7755,7297
19662,TOM GREEN COUNTY,451,All Ages,117944,58115,59829,63384,31182,32202,4206,2243,1963,3956,1903,2053,46398,22787,23611
19749,TRAVIS COUNTY,453,All Ages,1194552,601978,592574,568828,285879,282949,91315,44347,46968,111421,54800,56621,422988,216952,206036
19836,TRINITY COUNTY,455,All Ages,14441,7062,7379,11513,5611,5902,1408,664,744,305,122,183,1215,665,550
19923,TYLER COUNTY,457,All Ages,22003,12256,9747,17360,9002,8358,2498,1647,851,464,241,223,1681,1366,315
20010,UPSHUR COUNTY,459,All Ages,40795,20194,20601,32176,15892,16284,3507,1688,1819,1476,727,749,3636,1887,1749
20097,UPTON COUNTY,461,All Ages,3573,1810,1763,1586,805,781,50,21,29,53,25,28,1884,959,925
20184,UVALDE COUNTY,463,All Ages,27608,13527,14081,7297,3559,3738,118,72,46,380,183,197,19813,9713,10100
20271,VAL VERDE COUNTY,465,All Ages,47874,24160,23714,7893,4319,3574,543,313,230,678,359,319,38760,19169,19591
20358,VAN ZANDT COUNTY,467,All Ages,54550,26880,27670,45583,22276,23307,1487,759,728,1615,762,853,5865,3083,2782
20445,VICTORIA COUNTY,469,All Ages,92313,45219,47094,40416,19587,20829,5557,2676,2881,2748,1341,1407,43592,21615,21977
20532,WALKER COUNTY,471,All Ages,71877,42133,29744,40649,22806,17843,15861,10181,5680,2314,1174,1140,13053,7972,5081
20619,WALLER COUNTY,473,All Ages,49448,24401,25047,20624,10025,10599,10671,4761,5910,995,495,500,17158,9120,8038
20706,WARD COUNTY,475,All Ages,11181,5468,5713,4821,2312,2509,538,280,258,203,100,103,5619,2776,2843
20793,WASHINGTON COUNTY,477,All Ages,35265,17580,17685,22272,10973,11299,6099,3006,3093,925,430,495,5969,3171,2798
20880,WEBB COUNTY,479,All Ages,275040,135130,139910,8663,4776,3887,558,370,188,2176,1113,1063,263643,128871,134772
20967,WHARTON COUNTY,481,All Ages,41103,20331,20772,18448,8984,9464,5529,2686,2843,576,297,279,16550,8364,8186
21054,WHEELER COUNTY,483,All Ages,5538,2754,2784,3586,1760,1826,109,48,61,129,49,80,1714,897,817
21141,WICHITA COUNTY,485,All Ages,133445,68649,64796,85466,43184,42282,13706,7506,6200,7770,3822,3948,26503,14137,12366
21228,WILBARGER COUNTY,487,All Ages,12513,6348,6165,7302,3654,3648,992,539,453,423,207,216,3796,1948,1848
21315,WILLACY COUNTY,489,All Ages,22016,12028,9988,2096,1126,970,352,316,36,201,150,51,19367,10436,8931
21402,WILLIAMSON COUNTY,491,All Ages,514534,248502,266032,303298,143922,159376,31939,15619,16320,43080,20799,22281,136217,68162,68055
21489,WILSON COUNTY,493,All Ages,48676,24268,24408,27926,13931,13995,680,368,312,878,412,466,19192,9557,9635
21576,WINKLER COUNTY,495,All Ages,7908,4026,3882,3182,1633,1549,153,73,80,169,94,75,4404,2226,2178
21663,WISE COUNTY,497,All Ages,64218,32137,32081,47869,23625,24244,589,394,195,1823,849,974,13937,7269,6668
21750,WOOD COUNTY,499,All Ages,44003,21682,22321,36402,17734,18668,2110,1058,1052,1097,552,545,4394,2338,2056
21837,YOAKUM COUNTY,501,All Ages,8823,4461,4362,2957,1465,1492,58,24,34,123,61,62,5685,2911,2774
21924,YOUNG COUNTY,503,All Ages,18807,9420,9387,14465,7083,7382,223,127,96,369,170,199,3750,2040,1710
22011,ZAPATA COUNTY,505,All Ages,14237,7209,7028,723,375,348,8,7,1,59,25,34,13447,6802,6645
22098,ZAVALA COUNTY,507,All Ages,12001,5949,6052,628,313,315,31,17,14,29,14,15,11313,5605,5708
